,age,clinical.T.Stage,Clinical.N.Stage,Clinical.M.Stage,Overall.Stage,Histology,gender
count,421.0,420.0,421.0,421.0,421,421,421
unique,,,,,5,5,2
top,,,,,IIIb,squamous cell carcinoma,male
freq,,,,,176,152,290
mean,68.07901306413302,2.473809523809524,1.3562945368171022,0.030878859857482184,,,
std,9.827793315182609,1.1317841373515674,1.2194415383373092,0.295193942792792,,,
min,33.6849,1.0,0.0,0.0,,,
25%,61.7041,2.0,0.0,0.0,,,
50%,68.6932,2.0,2.0,0.0,,,
75%,75.4329,4.0,2.0,0.0,,,
max,91.7043,5.0,4.0,3.0,,,
