Variable,Type,HR,HR_Lower_CI,HR_Upper_CI,p_value,C_Index
age,Clinical,1.0180163956479336,1.0064361949431435,1.0297298398201555,0.0022202410337080593,0.5425562792425668
gender_binary,Clinical,1.2930392325142337,1.0341943391303194,1.6166695112902902,0.0241343702325229,0.524810467532769
original_shape_Elongation,Radiomic,0.9376860662368159,0.8488070929117812,1.0358715969236814,0.20539875502269153,0.516677696121115
original_shape_Flatness,Radiomic,0.9577344091310347,0.8643372155965493,1.0612237699385647,0.40943023749063745,0.5106405210546481
original_shape_MajorAxisLength,Radiomic,1.2002995106219827,1.0944772053982956,1.316353513890747,0.00010571569692060189,0.5864999477552157
original_shape_Maximum2DDiameterColumn,Radiomic,1.2145674753889584,1.0934256259314983,1.3491307659960823,0.0002878378188988399,0.5731833327528357
original_shape_Maximum2DDiameterRow,Radiomic,1.2518062852416447,1.1315909642939168,1.3847927610028816,1.3015093621437007e-05,0.5839051234718401
original_shape_Maximum2DDiameterSlice,Radiomic,1.2645591899560362,1.1391682454126808,1.403752212495148,1.0551899492029601e-05,0.5847932848037337
original_shape_SurfaceVolumeRatio,Radiomic,0.8557328579569173,0.7660401590974711,0.9559273302980169,0.005818714058409034,0.5800680343190182
original_firstorder_Median,Radiomic,1.138808698148851,1.014924009191999,1.2778151262890671,0.026962062652648153,0.5835394099822367
original_firstorder_Skewness,Radiomic,0.8911304241774824,0.8015806282438757,0.9906844114166092,0.032910496927183626,0.5582181045592282
original_glrlm_GrayLevelVariance,Radiomic,0.9456388903486325,0.8472846473424613,1.0554102611732508,0.3185143292293866,0.5433457559820278
original_glrlm_RunEntropy,Radiomic,0.9285866691227446,0.8370257749171192,1.030163261290077,0.1618470738749022,0.5438101540640637
original_glrlm_ShortRunHighGrayLevelEmphasis,Radiomic,1.0378213257420863,0.9347247111138738,1.1522891086099103,0.4867838519749961,0.5347311715602615
original_glszm_GrayLevelVariance,Radiomic,1.0105718014119092,0.9072589775669802,1.12564922592184,0.8484278584418476,0.5037209896323128
original_glszm_ZoneEntropy,Radiomic,1.0731696996142726,0.968457778982597,1.1892033180631654,0.17762426351256336,0.5392010030998572
original_gldm_DependenceVariance,Radiomic,1.1452822351817507,1.0332553621527676,1.2694552056231916,0.00979848206746111,0.5480361766105906
original_gldm_LargeDependenceHighGrayLevelEmphasis,Radiomic,1.1668992502888083,1.0533541965453395,1.2926837570784513,0.003125133517189894,0.5596345187094377
original_gldm_LargeDependenceLowGrayLevelEmphasis,Radiomic,1.0473038452227412,0.9652859759577732,1.136290562110395,0.26664358697891755,0.5610161030034946
original_ngtdm_Complexity,Radiomic,0.9073562716988977,0.8132761981787369,1.0123195608515585,0.0817310080326373,0.5313526755134501
wavelet-LLH_firstorder_90Percentile,Radiomic,0.8869218217644436,0.7950370764869988,0.9894259540672165,0.03151818586698721,0.5640927402969825
wavelet-LLH_firstorder_Kurtosis,Radiomic,1.1919960530957936,1.0816824134121066,1.3135598517442322,0.0003931308888608872,0.5778621434293476
wavelet-LLH_firstorder_Maximum,Radiomic,1.1838639318804605,1.0641958051026057,1.3169886617550919,0.0019071454289820346,0.5530865057527312
wavelet-LLH_firstorder_Mean,Radiomic,1.1999226722051486,1.0741012789622866,1.3404829204402229,0.0012607189895585606,0.5828428128591829
wavelet-LLH_firstorder_Median,Radiomic,1.1969106333504764,1.0694018298247623,1.3396227912403993,0.001763199190494144,0.5891586267748714
wavelet-LLH_firstorder_Minimum,Radiomic,0.9326801457727895,0.8378553515608714,1.0382367943323363,0.20265868226737824,0.5206366897704713
wavelet-LLH_firstorder_Range,Radiomic,1.1547959257538587,1.0353574648436867,1.288012764112388,0.009773430830639916,0.5432528763656206
wavelet-LLH_firstorder_Skewness,Radiomic,0.9324194997355882,0.8353508037490385,1.0407676865638804,0.2121992142317152,0.5359386065735549
wavelet-LLH_firstorder_TotalEnergy,Radiomic,1.225838867104265,1.1208235880382595,1.3406935258505408,8.345179265394283e-06,0.5730904531364286
wavelet-LLH_glcm_ClusterProminence,Radiomic,0.9019658808775846,0.795873403195295,1.0222008261628595,0.10608458805355239,0.5458418956729709
wavelet-LLH_glcm_ClusterShade,Radiomic,0.9763477143897056,0.8968332278965498,1.0629120663044396,0.5807637754339474,0.5180941102713246
wavelet-LLH_glrlm_RunEntropy,Radiomic,1.052820065130924,0.9427173317539033,1.175782020979794,0.36108584016928147,0.525327110399034
wavelet-LLH_glrlm_RunVariance,Radiomic,1.2289225916615567,1.1042662421875264,1.3676509147869853,0.00015844870471740322,0.5804743826407996
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,Radiomic,1.042335419421815,0.9357648503944093,1.1610428903407999,0.4511556083079591,0.49882158986683384
wavelet-LLH_glszm_GrayLevelVariance,Radiomic,1.0244159818982372,0.9204345637021798,1.1401441724955557,0.6586824898109991,0.49802050317532187
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,Radiomic,1.1152164050659752,1.0027251949414826,1.2403274959106398,0.04441741370635167,0.5274633415763993
wavelet-LLH_glszm_ZoneEntropy,Radiomic,1.1177962912229942,0.9993891583709263,1.2502322425716537,0.051263387587470365,0.5606794143940186
wavelet-LLH_gldm_DependenceEntropy,Radiomic,0.8784742135486637,0.7918607637836398,0.9745614117595043,0.014424720086267011,0.556871350121324
wavelet-LLH_gldm_DependenceVariance,Radiomic,1.1257163286541407,1.0157074149706482,1.2476400525590117,0.02400733749651472,0.5398976002229111
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,Radiomic,1.2135373305585817,1.096964917611894,1.3424976761018712,0.0001726277721555717,0.5755982027794225
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,Radiomic,1.081792419677155,0.9746567790536029,1.2007045602322663,0.13953209745794176,0.52863594673354
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,Radiomic,0.9305482196535333,0.8347656047649707,1.0373211164398195,0.1940079437952622,0.539793110654453
