Feature,MW_U_Stat,MW_p_value,MW_EffectSize_r,Spearman_rho_Stage,Spearman_p_Stage,KW_Stat_Hist,KW_p_value,KW_EffectSize_eta2,MW_p_FDR,Spearman_p_FDR,KW_p_FDR
original_shape_Elongation,7854.0,0.16662413891097672,0.12265415549597858,-0.11105240781183966,0.02283650156499116,2.7754287286575163,0.2496452511296602,0.0024695182441322175,0.7731864137461557,0.04055079717147963,0.41245737143161254
original_shape_Flatness,8526.0,0.5917929299783624,0.0475871313672922,-0.17964686667152982,0.0002148833934948844,1.6982414463880104,0.4277909132565232,-0.0009610145019490113,0.8716329976425493,0.001023293703214128,0.5688372593390764
original_shape_MajorAxisLength,10391.0,0.0698502211996804,0.16074620196604106,0.2584054192738127,7.810611997222326e-08,3.23712835843412,0.19818305023847355,0.00393989923068191,0.7731864137461557,7.42008139736121e-06,0.3474428012325172
original_shape_Maximum2DDiameterColumn,9949.5,0.20894182140380713,0.11142761394101885,0.2475427109575656,2.7741040188462344e-07,0.1550780627966109,0.9253909043907568,-0.0058755475707114296,0.779134932346184,1.3176994089519613e-05,0.9452917840550741
original_shape_Maximum2DDiameterRow,10579.0,0.04038215585059119,0.18174709562109026,0.2728113451130799,1.327790015438218e-08,0.28388103035370815,0.8676728683179589,-0.0054653470370901016,0.7060697569286919,2.522801029332614e-06,0.9148772656542183
original_shape_Maximum2DDiameterSlice,10224.5,0.10892337416043371,0.1421470062555854,0.23643324913946293,9.551929062625013e-07,0.1648771158607486,0.9208680161554076,-0.005844340395347934,0.7731864137461557,2.639170840682047e-05,0.9452917840550741
original_shape_SurfaceVolumeRatio,7675.0,0.1076778066439936,0.1426496872207328,-0.1547240667190449,0.0014695834910826084,0.06588756848896082,0.9675929520289953,-0.006159593730926876,0.7731864137461557,0.003679334350187841,0.9743490952717948
original_firstorder_Median,10062.0,0.1620362270129888,0.12399463806970501,0.21579408845322412,8.121264515460402e-06,1.9961705403673022,0.36858450569489953,-1.2195731314324085e-05,0.7731864137461557,0.00010584643411643704,0.5345882143666482
original_firstorder_Skewness,8767.0,0.8161360597551344,0.02066577301161754,-0.20908010298504312,1.5607596405986864e-05,0.8971849739397157,0.6385262534503108,-0.0035121497645231982,0.9329946901539725,0.00014527990076673394,0.740309134831343
original_glrlm_GrayLevelVariance,8960.0,0.9924585610217754,0.0008936550491509543,-0.15867221695556089,0.0011031136195396027,2.6543961552241626,0.26521934520461443,0.002084064188611983,0.9977096645192451,0.0031516762183954887,0.4164601288336921
original_glrlm_RunEntropy,9134.0,0.8190735106421693,0.020330652368185875,-0.15749760098482007,0.0012022140657947141,0.6568862245840137,0.7200438887072185,-0.004277432405783396,0.9329946901539725,0.0033104445289999372,0.81433535032364
original_glrlm_ShortRunHighGrayLevelEmphasis,8740.0,0.7898198881546803,0.023681858802502287,0.1488274620388931,0.002228099763988439,4.103906338441675,0.12848370793013905,0.006700338657457563,0.9329946901539725,0.005449653061701368,0.27124338340807136
original_glszm_GrayLevelVariance,8754.0,0.8034374409047265,0.022117962466487895,-0.037360161833339005,0.44508165963246216,7.226554205303387,0.026963340289030063,0.016645077086953463,0.9329946901539725,0.5094308152419748,0.1280758663728928
original_glszm_ZoneEntropy,9699.0,0.34681639206962,0.0834450402144773,0.08158495356894786,0.09495982005545024,1.644895439967513,0.43935491945432736,-0.0011309062421416781,0.779134932346184,0.13464452097414586,0.5688372593390764
original_gldm_DependenceVariance,9868.0,0.24859614433450428,0.1023235031277927,0.0963697509499912,0.04841563025800119,4.923996412445149,0.08526440476665949,0.009312090485494105,0.779134932346184,0.07665808124183522,0.22500329035646252
original_gldm_LargeDependenceHighGrayLevelEmphasis,9623.0,0.3981092788599655,0.07495531724754234,0.1765688783791094,0.00027646271971532883,3.8709139168026923,0.14435828801693484,0.005958324575804752,0.7810816929598434,0.001193816289679829,0.28132787410508536
